Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:06:754,,32274.2,-188.895,64292.5,43.7902,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:07:768,,32048,-226.16,7959.92,43.7903,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:08:782,,32003.8,-44.2402,56865.4,43.7904,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:09:794,,31851.9,-151.903,63373.7,43.7905,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:10:813,,31653.5,-198.362,9057.65,43.7908,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:11:820,,31571.1,-82.431,64341,43.791,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:12:834,,31606.3,35.1629,61872.4,43.7913,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:13:848,,31282.4,-323.89,65394.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:14:868,,31113.8,-168.605,61966.1,43.7918,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:15:872,,30910.2,-203.583,89957.8,43.792,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:16:885,,30743.1,-167.091,63541,43.7924,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:17:899,,30876.9,133.767,7968.12,43.7927,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:18:902,,30539.7,-337.126,61978.2,43.7929,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:19:915,,30406.8,-132.923,67390,43.7932,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:20:931,,30227.1,-179.689,65725.5,43.7936,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
