,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,29971.1,4373.66,,22.554
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:24:296,,23105.1,-135.878,225.972,7.02344,0,43.781,-120.636,N 43° 46.8581',W 120° 38.1379',16.5,-34.0625,-385,-34.0625,16.5,-385,0,4.55856e-312,3.14082e-317
00:01:25:312,,22951.9,-153.237,220.282,6.84658,0,43.7809,-120.636,N 43° 46.8533',W 120° 38.1458',36.375,92.875,-105.75,92.875,36.375,-105.75,0,4.55856e-312,3.14082e-317
00:01:26:329,,22831.4,-120.521,231.725,7.20224,0,43.7808,-120.636,N 43° 46.8452',W 120° 38.1475',55.4375,0.375,-248.5,0.375,55.4375,-248.5,0,4.55856e-312,3.14082e-317
00:01:27:344,,22741.2,-90.2135,229.797,7.14232,0,43.7807,-120.636,N 43° 46.841',W 120° 38.1434',140,-1.3125,-326.438,-1.3125,140,-326.438,0,4.55856e-312,3.14082e-317
00:01:28:361,,22523.5,-217.689,253.504,7.87915,0,43.7807,-120.636,N 43° 46.8419',W 120° 38.1417',184.5,187.313,-100.375,187.313,184.5,-100.375,0,4.55856e-312,3.14082e-317
00:01:29:377,,22410,-113.444,232.287,7.2197,0,43.7807,-120.636,N 43° 46.843',W 120° 38.1462',-2.375,-61.375,-214.375,-61.375,-2.375,-214.375,0,4.55856e-312,3.14082e-317
00:01:30:393,,22260.6,-149.458,224.862,6.98892,0,43.7807,-120.636,N 43° 46.8397',W 120° 38.1552',43.75,90.125,-227.063,90.125,43.75,-227.063,0,4.55856e-312,3.14082e-317
00:01:31:408,,22151.4,-109.138,223.343,6.94171,0,43.7805,-120.636,N 43° 46.8327',W 120° 38.16',183.375,46,-295,46,183.375,-295,0,4.55856e-312,3.14082e-317
00:01:32:424,,22025.3,-126.145,225.949,7.02273,0,43.7804,-120.636,N 43° 46.826',W 120° 38.1578',-28.9375,120,-163.313,120,-28.9375,-163.313,0,4.55856e-312,3.14082e-317
00:01:33:441,,21879.8,-145.489,200.692,6.23771,0,43.7804,-120.636,N 43° 46.8257',W 120° 38.1547',-729,-26.5625,-243.938,-26.5625,-729,-243.938,0,4.55856e-312,3.14082e-317
