,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,32862.6,1477.3,,112303
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:28:399,,29006.2,554.523,2.10287e+06,65359.4,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,58904,65366,59,65366,58904,59,0,1.39096e-307,1.39067e-307
00:00:29:414,,29556.4,550.23,2.10335e+06,65374.3,1,43.7909,-120.654,N 43° 47.4544',W 120° 39.2381',60192,77,65407,77,60192,65407,0,1.39096e-307,1.39067e-307
00:00:30:431,,29998.2,441.719,2.10515e+06,65430.2,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,60851,4,75,4,60851,75,0,1.39096e-307,1.39067e-307
00:00:31:448,,30440.4,442.266,2.10573e+06,65448.2,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,61363,65376,65521,65376,61363,65521,0,1.39096e-307,1.39067e-307
00:00:32:465,,30837.3,396.866,2.10631e+06,65466.1,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,61816,65463,65503,65463,61816,65503,0,1.39096e-307,1.39067e-307
00:00:33:481,,31190.2,352.901,2.97954e+06,92607,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,62350,61,65533,61,62350,65533,0,1.39096e-307,1.39067e-307
00:00:34:498,,31549.8,359.654,2.9807e+06,92643,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,62740,65497,43,65497,62740,43,0,1.39096e-307,1.39067e-307
00:00:35:515,,31807.1,257.217,2.98061e+06,92640.2,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,62956,65526,6,65526,62956,6,0,1.39096e-307,1.39067e-307
00:00:36:531,,32048,240.979,2.98054e+06,92638.1,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63232,65464,34,65464,63232,34,0,1.39096e-307,1.39067e-307
00:00:37:548,,32294.2,246.128,2.98092e+06,92650.1,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63444,65460,65480,65460,63444,65480,0,1.39096e-307,1.39067e-307
00:00:38:565,,32488,193.835,2.98079e+06,92645.8,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63702,93,65492,93,63702,65492,0,1.39096e-307,1.39067e-307
00:00:39:581,,32588.8,100.842,2.98097e+06,92651.5,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63807,11,87,11,63807,87,0,1.39096e-307,1.39067e-307
00:00:40:598,,32692,103.176,2.98058e+06,92639.5,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63969,65421,65462,65421,63969,65462,0,1.39096e-307,1.39067e-307
00:00:41:603,,32749.1,57.0714,2.98008e+06,92623.9,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,63955,85,65359,85,63955,65359,0,1.39096e-307,1.39067e-307
00:00:42:614,,32789.8,40.7055,2.10582e+06,65451,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,64224,221,76,221,64224,76,0,1.39096e-307,1.39067e-307
00:00:43:631,,32804.3,14.5535,149177,4636.58,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,46904,64161,64243,64161,46904,64243,0,1.39096e-307,1.39067e-307
00:00:44:647,Apogee,32763.6,-40.7288,2.92445e+06,90894.8,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,3133,60832,65031,60832,3133,65031,0,1.39096e-307,1.39067e-307
