,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,48.181,2.77003,,1.87612
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:54:785,,10.2397,0.830359,29.947,0.930784,0,44.5617,-123.278,N 44° 33.7016',W 123° 16.7051',-24.125,-30.4375,96.0625,-30.4375,-24.125,96.0625,0,1.49525e-305,5.34272e-317
00:00:55:697,,10.5165,0.276791,37.859,1.1767,0,44.5617,-123.278,N 44° 33.7017',W 123° 16.7053',-101.313,47.75,67,47.75,-101.313,67,0,1.49525e-305,5.34272e-317
00:00:56:611,,11.6236,1.10719,60.3623,1.87612,0,44.5617,-123.278,N 44° 33.7022',W 123° 16.7055',-18.125,11.3125,-0.875,11.3125,-18.125,-0.875,0,1.49525e-305,5.34272e-317
00:00:57:524,,13.2845,1.66085,20.3307,0.631898,0,44.5617,-123.278,N 44° 33.7021',W 123° 16.7055',-15.9375,14.625,39.5625,14.625,-15.9375,39.5625,0,1.49525e-305,5.34272e-317
00:00:58:437,,13.8381,0.553633,40.4288,1.25657,0,44.5617,-123.278,N 44° 33.7025',W 123° 16.7057',-31.1875,-8.9375,75.75,-8.9375,-31.1875,75.75,0,1.49525e-305,5.34272e-317
00:00:59:337,,14.6686,0.830467,34.2025,1.06305,0,44.5617,-123.278,N 44° 33.7023',W 123° 16.7054',-13.3125,28.8125,83.375,28.8125,-13.3125,83.375,0,1.49525e-305,5.34272e-317
00:01:00:249,,15.7759,1.10732,42.2181,1.31218,0,44.5617,-123.278,N 44° 33.7029',W 123° 16.7045',-35.625,25.625,0.0625,25.625,-35.625,0.0625,0,1.49525e-305,5.34272e-317
00:01:01:178,,17.7138,1.9379,31.4749,0.97827,0,44.5617,-123.278,N 44° 33.7032',W 123° 16.7039',15.4375,-16.875,37.25,-16.875,15.4375,37.25,0,1.49525e-305,5.34272e-317
00:01:02:092,,17.9907,0.276851,43.4786,1.35136,0,44.5617,-123.278,N 44° 33.7036',W 123° 16.7036',-54.75,-3.375,75.5,-3.375,-54.75,75.5,0,1.49525e-305,5.34272e-317
00:01:03:006,Landing,17.7138,-0.276851,51.618,1.60434,0,44.5617,-123.278,N 44° 33.7037',W 123° 16.7045',-12.1875,19.0625,57.375,19.0625,-12.1875,57.375,0,1.49525e-305,5.34272e-317
